model: 3, best: 3, AStype: 3, top: 3, p= 0.999987, second: 9, p= 6.73881e-06, third: 5, p= 5.9373e-06
model: 4, best: 4, AStype: 1, top: 4, p= 0.544912, second: 5, p= 0.447987, third: 0, p= 0.00340741
model: 4, best: 4, AStype: 1, top: 4, p= 0.945659, second: 5, p= 0.0462467, third: 0, p= 0.00740401
model: 4, best: 4, AStype: 1, top: 4, p= 0.939875, second: 5, p= 0.0575451, third: 9, p= 0.00202531
model: 4, best: 4, AStype: 1, top: 4, p= 0.99532, second: 9, p= 0.00248662, third: 5, p= 0.0015301
model: 4, best: 4, AStype: 1, top: 4, p= 0.885345, second: 2, p= 0.066324, third: 9, p= 0.0460739
model: 4, best: 4, AStype: 1, top: 4, p= 0.877252, second: 5, p= 0.110098, third: 6, p= 0.00531084
model: 4, best: 3, AStype: 1, top: 3, p= 0.70365, second: 4, p= 0.288864, third: 5, p= 0.00739467 ****ERROR****
model: 4, best: 4, AStype: 1, top: 4, p= 0.974065, second: 9, p= 0.0149072, third: 0, p= 0.00708223
model: 4, best: 4, AStype: 1, top: 4, p= 0.715115, second: 5, p= 0.201819, third: 7, p= 0.0621276
model: 4, best: 4, AStype: 1, top: 4, p= 0.808316, second: 7, p= 0.125031, third: 5, p= 0.0552744
model: 4, best: 4, AStype: 2, top: 4, p= 0.999312, second: 9, p= 0.000453737, third: 5, p= 0.000120938
model: 4, best: 4, AStype: 2, top: 4, p= 0.998246, second: 5, p= 0.00101157, third: 9, p= 0.000547124
model: 4, best: 4, AStype: 2, top: 4, p= 0.991331, second: 5, p= 0.00840656, third: 0, p= 0.000219844
model: 4, best: 4, AStype: 2, top: 4, p= 0.996528, second: 5, p= 0.00201602, third: 0, p= 0.00142471
model: 4, best: 4, AStype: 2, top: 4, p= 0.954655, second: 5, p= 0.0446824, third: 2, p= 0.000507199
model: 4, best: 4, AStype: 2, top: 4, p= 0.998763, second: 5, p= 0.000887617, third: 0, p= 0.000316801
model: 4, best: 4, AStype: 2, top: 4, p= 0.998478, second: 5, p= 0.000981919, third: 9, p= 0.000517887
model: 4, best: 4, AStype: 2, top: 4, p= 0.980844, second: 9, p= 0.0187548, third: 5, p= 0.00035914
model: 4, best: 4, AStype: 2, top: 4, p= 0.99625, second: 5, p= 0.00268345, third: 0, p= 0.00106238
model: 4, best: 4, AStype: 2, top: 4, p= 0.997212, second: 9, p= 0.0020493, third: 0, p= 0.000696314
model: 4, best: 4, AStype: 3, top: 4, p= 0.995689, second: 5, p= 0.00390833, third: 0, p= 0.000304397
model: 4, best: 4, AStype: 3, top: 4, p= 0.997399, second: 9, p= 0.00198917, third: 5, p= 0.000455313
model: 4, best: 4, AStype: 3, top: 4, p= 0.982973, second: 5, p= 0.0165782, third: 6, p= 0.00023499
model: 4, best: 4, AStype: 3, top: 4, p= 0.971593, second: 5, p= 0.0157281, third: 0, p= 0.0124192
model: 4, best: 4, AStype: 3, top: 4, p= 0.992662, second: 5, p= 0.00724535, third: 6, p= 5.3851e-05
model: 4, best: 4, AStype: 3, top: 4, p= 0.985837, second: 5, p= 0.01383, third: 0, p= 0.000175448
model: 4, best: 4, AStype: 3, top: 4, p= 0.977062, second: 5, p= 0.0219, third: 0, p= 0.000918314
model: 4, best: 4, AStype: 3, top: 4, p= 0.986743, second: 5, p= 0.0112612, third: 0, p= 0.00152189
model: 4, best: 4, AStype: 3, top: 4, p= 0.983696, second: 5, p= 0.0150596, third: 0, p= 0.00117685
model: 4, best: 4, AStype: 3, top: 4, p= 0.995637, second: 9, p= 0.00240541, third: 0, p= 0.00131594
model: 5, best: 5, AStype: 1, top: 5, p= 0.986975, second: 6, p= 0.00669462, third: 9, p= 0.00500918
model: 5, best: 5, AStype: 1, top: 5, p= 0.792812, second: 8, p= 0.103758, third: 0, p= 0.10308
model: 5, best: 5, AStype: 1, top: 5, p= 0.99746, second: 9, p= 0.00169688, third: 0, p= 0.00079742
model: 5, best: 5, AStype: 1, top: 5, p= 0.951613, second: 8, p= 0.0464302, third: 6, p= 0.000701946
model: 5, best: 1, AStype: 1, top: 1, p= 0.999892, second: 3, p= 6.09718e-05, third: 5, p= 4.49899e-05 ****ERROR****
model: 5, best: 5, AStype: 1, top: 5, p= 0.961451, second: 8, p= 0.0264351, third: 2, p= 0.00833101
model: 5, best: 5, AStype: 1, top: 5, p= 0.92453, second: 0, p= 0.0687293, third: 3, p= 0.00567033
model: 5, best: 5, AStype: 1, top: 5, p= 0.899566, second: 8, p= 0.0951459, third: 0, p= 0.0051324
model: 5, best: 5, AStype: 1, top: 5, p= 0.842274, second: 4, p= 0.0958779, third: 6, p= 0.0347052
model: 5, best: 5, AStype: 1, top: 5, p= 0.877319, second: 0, p= 0.063059, third: 4, p= 0.0569245
model: 5, best: 5, AStype: 2, top: 5, p= 0.998661, second: 0, p= 0.0008144, third: 9, p= 0.000511384
