model: 7, best: 7, AStype: 1, top: 7, p= 0.941099, second: 5, p= 0.0251039, third: 2, p= 0.0116029
model: 7, best: 7, AStype: 1, top: 7, p= 0.838974, second: 5, p= 0.0704102, third: 9, p= 0.0298667
model: 7, best: 7, AStype: 1, top: 7, p= 0.499633, second: 0, p= 0.164453, third: 4, p= 0.085518
model: 7, best: 7, AStype: 1, top: 7, p= 0.632083, second: 1, p= 0.141825, third: 9, p= 0.118568
model: 7, best: 7, AStype: 1, top: 7, p= 0.708401, second: 0, p= 0.0774266, third: 5, p= 0.0689791
model: 7, best: 7, AStype: 1, top: 7, p= 0.839765, second: 1, p= 0.0837854, third: 5, p= 0.0384705
model: 7, best: 7, AStype: 2, top: 7, p= 0.913004, second: 2, p= 0.0411219, third: 5, p= 0.0395684
model: 7, best: 7, AStype: 2, top: 7, p= 0.981287, second: 9, p= 0.0147078, third: 1, p= 0.00200163
model: 7, best: 7, AStype: 2, top: 7, p= 0.984718, second: 9, p= 0.0112468, third: 1, p= 0.0017028
model: 7, best: 7, AStype: 2, top: 7, p= 0.988755, second: 5, p= 0.00802593, third: 1, p= 0.0012736
model: 7, best: 7, AStype: 2, top: 7, p= 0.947605, second: 1, p= 0.0173913, third: 5, p= 0.0173038
model: 7, best: 7, AStype: 2, top: 7, p= 0.982861, second: 5, p= 0.00923364, third: 1, p= 0.00357206
model: 7, best: 7, AStype: 2, top: 7, p= 0.92133, second: 9, p= 0.0533816, third: 6, p= 0.0191717
model: 7, best: 7, AStype: 2, top: 7, p= 0.942934, second: 9, p= 0.0422627, third: 1, p= 0.00686997
model: 7, best: 7, AStype: 2, top: 7, p= 0.981897, second: 5, p= 0.0145808, third: 1, p= 0.00147894
model: 7, best: 7, AStype: 3, top: 7, p= 0.968404, second: 5, p= 0.0179247, third: 9, p= 0.00405323
model: 7, best: 7, AStype: 3, top: 7, p= 0.900087, second: 2, p= 0.0462265, third: 5, p= 0.0378382
model: 7, best: 7, AStype: 3, top: 7, p= 0.913384, second: 9, p= 0.0284381, third: 5, p= 0.0266151
model: 7, best: 7, AStype: 3, top: 7, p= 0.938931, second: 5, p= 0.0222716, third: 9, p= 0.0181534
model: 7, best: 7, AStype: 3, top: 7, p= 0.893759, second: 9, p= 0.0341495, third: 5, p= 0.0236874
model: 7, best: 7, AStype: 3, top: 7, p= 0.883588, second: 5, p= 0.0502705, third: 9, p= 0.0432442
model: 7, best: 7, AStype: 3, top: 7, p= 0.907051, second: 2, p= 0.0439065, third: 5, p= 0.0328656
model: 7, best: 7, AStype: 3, top: 7, p= 0.88007, second: 9, p= 0.0398779, third: 5, p= 0.0350309
model: 7, best: 7, AStype: 3, top: 7, p= 0.874992, second: 2, p= 0.0681382, third: 5, p= 0.0401131
model: 8, best: 8, AStype: 1, top: 8, p= 0.86649, second: 5, p= 0.0989994, third: 3, p= 0.023334
model: 8, best: 8, AStype: 1, top: 8, p= 0.402354, second: 0, p= 0.333804, third: 3, p= 0.251211
model: 8, best: 8, AStype: 1, top: 8, p= 0.437195, second: 2, p= 0.162342, third: 0, p= 0.145427
