model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 4, p= 1.22787e-79, third: 5, p= 3.11145e-89
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 3.10862e-82, third: 5, p= 4.54294e-85
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 1.87879e-85, third: 8, p= 3.54037e-88
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 4, p= 5.19554e-76, third: 5, p= 1.46943e-82
model: 3, best: 3, AStype: 3, top: 3, p= 1.0, second: 9, p= 1.06431e-62, third: 8, p= 3.76446e-76
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 5, p= 3.53161e-32, third: 9, p= 2.44141e-57
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 1, p= 1.57476e-29, third: 5, p= 1.90139e-45
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 9, p= 8.86881e-35, third: 5, p= 3.15737e-43
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 5, p= 9.22285e-13, third: 0, p= 5.78106e-43
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 0, p= 3.21326e-12, third: 5, p= 3.37768e-23
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 5, p= 1.18073e-39, third: 1, p= 2.49864e-42
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 0, p= 1.37166e-14, third: 5, p= 3.36285e-22
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 9, p= 2.34758e-18, third: 5, p= 6.53505e-24
model: 4, best: 4, AStype: 1, top: 4, p= 1.0, second: 9, p= 5.32923e-11, third: 1, p= 8.77875e-51
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 0, p= 3.31409e-19, third: 5, p= 6.80258e-21
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 9, p= 2.87912e-46, third: 5, p= 1.75533e-55
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 5, p= 1.01366e-17, third: 0, p= 2.93579e-36
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 9, p= 1.61021e-29, third: 5, p= 6.57402e-55
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 5, p= 1.95145e-20, third: 9, p= 5.36762e-54
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 5, p= 1.07654e-30, third: 3, p= 1.23484e-35
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 5, p= 4.62003e-34, third: 9, p= 3.64244e-35
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 5, p= 4.05303e-23, third: 0, p= 9.88086e-49
model: 4, best: 4, AStype: 2, top: 4, p= 1.0, second: 5, p= 1.99967e-31, third: 9, p= 1.22238e-42
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 5, p= 6.09609e-13, third: 8, p= 9.51946e-60
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 5, p= 3.84588e-16, third: 0, p= 8.57638e-17
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 5, p= 1.11836e-21, third: 0, p= 3.08031e-38
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 0, p= 9.26792e-20, third: 5, p= 1.67067e-23
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 9, p= 2.10913e-40, third: 5, p= 1.20446e-51
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 5, p= 2.73768e-10, third: 0, p= 7.56419e-45
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 5, p= 9.06163e-16, third: 0, p= 9.14756e-27
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 9, p= 2.46674e-34, third: 5, p= 2.20191e-34
model: 4, best: 4, AStype: 3, top: 4, p= 1.0, second: 9, p= 2.03549e-27, third: 0, p= 3.93143e-35
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 8, p= 1.57607e-40, third: 1, p= 2.48593e-44
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 4, p= 1.07046e-16, third: 0, p= 6.56459e-71
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 1, p= 1.53424e-16, third: 4, p= 1.6277e-45
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 8, p= 3.24024e-32, third: 9, p= 1.54298e-47
model: 5, best: 8, AStype: 1, top: 8, p= 0.969115, second: 5, p= 0.0308852, third: 9, p= 1.59969e-35
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 4, p= 1.2978e-19, third: 9, p= 2.70895e-38
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 8, p= 6.79058e-16, third: 9, p= 2.47917e-32
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 8, p= 9.26649e-28, third: 9, p= 4.98711e-36
model: 5, best: 5, AStype: 1, top: 5, p= 1.0, second: 1, p= 4.17501e-36, third: 4, p= 1.62187e-42
model: 5, best: 5, AStype: 2, top: 5, p= 1.0, second: 4, p= 4.55374e-13, third: 9, p= 1.24548e-27
model: 5, best: 5, AStype: 2, top: 5, p= 1.0, second: 0, p= 4.43938e-39, third: 8, p= 1.94498e-50
model: 5, best: 5, AStype: 2, top: 5, p= 1.0, second: 8, p= 1.45401e-25, third: 0, p= 9.19341e-36
model: 5, best: 5, AStype: 2, top: 5, p= 1.0, second: 8, p= 2.57162e-28, third: 9, p= 1.40532e-60
model: 5, best: 5, AStype: 2, top: 5, p= 1.0, second: 8, p= 4.93065e-20, third: 9, p= 1.50611e-28
model: 5, best: 5, AStype: 2, top: 5, p= 1.0, second: 9, p= 2.76926e-29, third: 0, p= 4.85485e-45
model: 5, best: 8, AStype: 2, top: 8, p= 0.999799, second: 9, p= 0.000201237, third: 5, p= 6.48674e-13
model: 5, best: 5, AStype: 2, top: 5, p= 1.0, second: 8, p= 4.60278e-30, third: 0, p= 4.05062e-32
model: 5, best: 5, AStype: 2, top: 5, p= 1.0, second: 4, p= 2.47676e-31, third: 9, p= 1.16234e-84
model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 8, p= 8.86794e-33, third: 0, p= 3.32394e-48
model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 8, p= 3.40642e-20, third: 9, p= 2.2812e-29
model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 8, p= 8.43002e-33, third: 0, p= 4.7951e-43
model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 8, p= 1.6597e-19, third: 9, p= 2.13816e-43
model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 8, p= 2.5345e-19, third: 2, p= 4.96735e-56
model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 0, p= 1.27919e-23, third: 9, p= 3.35234e-41
model: 5, best: 5, AStype: 3, top: 5, p= 1.0, second: 8, p= 1.24993e-18, third: 2, p= 2.00918e-51
