model: 4, best: 4, AStype: 2, top: 4, p= 0.598124, second: 9, p= 0.389544, third: 1, p= 0.00976076
model: 4, best: 4, AStype: 2, top: 4, p= 0.438294, second: 0, p= 0.277595, third: 5, p= 0.258816
model: 4, best: 4, AStype: 2, top: 4, p= 0.494103, second: 9, p= 0.479354, third: 1, p= 0.0249686
model: 4, best: 9, AStype: 2, top: 9, p= 0.504393, second: 4, p= 0.478704, third: 1, p= 0.0136847 ****ERROR****
model: 4, best: 4, AStype: 2, top: 4, p= 0.86222, second: 5, p= 0.0831959, third: 1, p= 0.0535831
model: 4, best: 4, AStype: 2, top: 4, p= 0.932125, second: 1, p= 0.0340989, third: 3, p= 0.013202
model: 4, best: 4, AStype: 2, top: 4, p= 0.794706, second: 9, p= 0.0787351, third: 3, p= 0.0516287
model: 4, best: 4, AStype: 2, top: 4, p= 0.841441, second: 9, p= 0.154126, third: 1, p= 0.0024356
model: 4, best: 4, AStype: 2, top: 4, p= 0.803393, second: 5, p= 0.184238, third: 1, p= 0.0121553
model: 4, best: 4, AStype: 3, top: 4, p= 0.972673, second: 5, p= 0.0152988, third: 1, p= 0.00677931
model: 4, best: 4, AStype: 3, top: 4, p= 0.953999, second: 7, p= 0.0216948, third: 5, p= 0.0128435
model: 4, best: 4, AStype: 3, top: 4, p= 0.986076, second: 5, p= 0.0053922, third: 7, p= 0.00413373
model: 4, best: 4, AStype: 3, top: 4, p= 0.957912, second: 7, p= 0.0149983, third: 5, p= 0.013132
model: 4, best: 4, AStype: 3, top: 4, p= 0.958082, second: 7, p= 0.0161758, third: 5, p= 0.0130594
model: 4, best: 4, AStype: 3, top: 4, p= 0.962329, second: 5, p= 0.0157036, third: 7, p= 0.0125793
model: 4, best: 4, AStype: 3, top: 4, p= 0.916527, second: 9, p= 0.031571, third: 5, p= 0.0199234
model: 4, best: 4, AStype: 3, top: 4, p= 0.970501, second: 7, p= 0.0113024, third: 5, p= 0.0087898
model: 4, best: 4, AStype: 3, top: 4, p= 0.929407, second: 9, p= 0.0213859, third: 7, p= 0.0167156
model: 4, best: 4, AStype: 3, top: 4, p= 0.924669, second: 9, p= 0.026905, third: 5, p= 0.0220339
model: 5, best: 5, AStype: 1, top: 5, p= 0.467535, second: 0, p= 0.321781, third: 8, p= 0.0613806
